B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1
10706,9917,8954,8634,10226,11020,10621,1,4.637575297656477e-12
10626,9746,8819,8589,10442,11502,10191,1,4.27737595113432e-12
10590,9733,8785,8511,10121,11292,10328,1,4.810991907986704e-12
10672,9827,8872,8687,11022,12621,10782,1,3.2215518446261234e-12
10559,9703,8782,8549,12068,12699,10299,1,2.2412693659246706e-12
10537,9661,8743,8534,10964,11957,10308,1,3.2668188511815384e-12
10614,9834,9074,9024,11678,12402,10796,1,3.0007258301580526e-12
10576,9833,9106,9081,11725,12204,10621,1,3.1010256922958806e-12
10679,9832,8888,8651,10727,11796,10659,1,3.624201287611726e-12
10630,9907,9186,9206,12007,12844,11120,1,2.8126919903140306e-12
10614,9861,9115,9057,11748,12748,11189,1,2.8556636196636434e-12
10667,9833,8896,8726,11274,12220,10275,1,3.1169228631776536e-12
10649,9810,8841,8631,10673,11662,10206,1,3.870184831732231e-12
10641,9778,8854,8652,10952,11625,10087,1,3.502443764314742e-12
10644,9806,8883,8675,10644,11595,10314,1,3.996775061169136e-12
10628,9792,8842,8620,10433,11571,10455,1,4.2600944636810395e-12
10647,9816,8871,8617,10442,11658,10609,1,4.136571016282255e-12
10653,9926,9247,9326,12347,13080,11136,1,2.64401441877219e-12
10640,9791,8867,8668,10868,11997,10554,1,3.5031009091655166e-12
10707,9834,8917,8716,11190,12292,10442,1,3.132090380617e-12
10672,9875,8937,8642,10373,11174,10620,1,4.3135244149085045e-12
10633,9837,8978,8813,10903,11646,10591,1,3.736510437671056e-12
10573,9810,9059,9033,11696,12566,10940,1,2.980767022435235e-12
10591,9816,9036,8953,11532,12422,11007,1,3.0058625692396073e-12
10691,9825,8884,8696,10751,11986,10649,1,3.7030448357813064e-12
10594,9861,9092,9004,11531,12561,11246,1,3.0034976543399167e-12
10671,9826,8933,8773,11402,12534,10623,1,2.9422480076642936e-12
10612,9826,9023,8884,11301,12019,10898,1,3.1847011689917048e-12
10533,9744,8935,8758,11097,11779,10483,1,3.4112233657268655e-12
10571,9796,8981,8798,11051,11913,10779,1,3.427194135205734e-12
10668,9803,8894,8751,11794,12421,10301,1,2.626605766486917e-12
10656,9868,9053,8946,11534,12691,11336,1,2.8656147598657616e-12
10672,9890,9073,8969,11545,12479,11054,1,2.9500522634110203e-12
10679,9931,9228,9224,12132,12982,11094,1,2.694789649521684e-12
10682,9798,8891,8734,11604,12230,10319,1,2.7680010274136473e-12
10636,9772,8863,8690,11287,12088,10309,1,3.0620235559765644e-12
10639,9787,8843,8633,10753,11911,10500,1,3.6362044971348176e-12
10652,9800,8870,8640,10467,11786,10572,1,4.173985440576799e-12
10656,9847,8939,8734,10785,12062,10717,1,3.699988694549536e-12
10669,9839,8912,8714,10755,11878,10681,1,3.723319783204091e-12
10647,9811,8915,8756,12180,12416,10187,1,2.3603128258682792e-12
10696,9836,8897,8738,10936,12222,10531,1,3.524059845677292e-12
10636,9778,8846,8617,11981,12523,10166,1,2.360102129654785e-12
10625,9760,8839,8611,11444,12597,10569,1,2.7017478575649006e-12
10640,9778,8812,8583,10493,11864,10512,1,4.002149947671703e-12
10711,9841,8909,8689,10565,11835,10524,1,4.072186979327125e-12
10673,9825,8883,8718,10763,12120,10502,1,3.799178269309142e-12
10662,9813,8894,8749,10984,12110,10614,1,3.467549106524023e-12
10624,9769,8849,8733,11278,12429,10449,1,3.1227127590453142e-12
10721,9824,8854,8676,11250,12315,10381,1,3.020843215778665e-12
10630,9751,8783,8512,11317,11733,10050,1,2.8231827959804383e-12
10613,9749,8826,8635,11670,12479,10320,1,2.606898567224447e-12
10618,9741,8788,8575,10745,11851,10417,1,3.5787350502633788e-12
10671,9814,8851,8599,10328,11467,10300,1,4.479403300099721e-12
10619,9781,8868,8707,11005,12374,10492,1,3.4137854142691458e-12
10573,9718,8775,8632,11161,12346,10319,1,3.166752845657914e-12
10717,9837,8902,8773,11558,12299,10317,1,2.8542639782889055e-12
10674,9786,8853,8637,10503,11836,10481,1,4.12466427071844e-12
10737,9872,8883,8711,11112,11989,10225,1,3.282712046140955e-12
10761,9874,8880,8627,10835,11981,10230,1,3.4920959920562596e-12
10706,9830,8831,8559,10422,11284,10146,1,4.1701117974868e-12
10629,9753,8797,8563,11070,11748,10107,1,3.173292206738247e-12
10619,9739,8826,8637,10686,12006,10480,1,3.805929054182509e-12
10643,9791,8812,8551,10297,11944,10763,1,4.237313844581113e-12
10603,9758,8852,8694,11195,12382,10649,1,3.0987445254222514e-12
10651,9751,8811,8667,10953,12102,10598,1,3.3882286430153475e-12
10602,9686,8752,8528,10743,11760,10365,1,3.5246157111857574e-12
10717,9864,8921,8722,11475,12366,10305,1,2.8434010764442933e-12
10747,9867,8883,8625,10437,11658,10306,1,4.229001477097777e-12
10767,9891,8915,8712,10937,12003,10497,1,3.422821557216344e-12
10677,9815,8855,8639,10517,12152,10983,1,3.899260625603953e-12
10599,9773,8833,8689,11114,12769,10842,1,3.1384659930566897e-12
10580,9704,8727,8532,10374,11555,10247,1,4.304412659054438e-12
10612,9746,8787,8616,10803,11980,10401,1,3.591064671512618e-12
10653,9782,8808,8583,10758,11992,10338,1,3.569484861828379e-12
10546,9721,8778,8656,11122,12602,10561,1,3.1969960082057273e-12
10253,9364,8356,7946,9328,9634,8934,1,6.374297612102119e-12
10268,9442,8585,8444,10912,12257,10490,1,3.308915297570253e-12
10211,9321,8307,7955,9437,10189,9363,1,5.768224386710909e-12
10203,9355,8391,8075,9856,10889,9563,1,4.780150685728612e-12
10255,9358,8413,8100,9793,10926,9840,1,4.878074028079917e-12
10288,9484,8653,8495,11111,13069,10940,1,2.9866374064348323e-12
10191,9335,8373,8031,9871,10651,9576,1,4.5954185851872315e-12
10227,9348,8428,8085,10426,10759,9348,1,3.707220725962099e-12
10202,9314,8370,8023,10180,10760,9338,1,4.018116819480686e-12
10237,9373,8421,8122,10083,11005,10038,1,4.147498117993906e-12
10205,9303,8307,7905,9375,10212,9304,1,5.793439440500981e-12
10271,9368,8408,8100,9776,10896,9918,1,4.878874032309164e-12
10176,9295,8310,7928,9392,9871,9055,1,6.032123650142512e-12
10199,9332,8352,8011,9614,10010,9062,1,5.557674092257137e-12
10171,9303,8302,7942,9608,10551,9613,1,5.013677809584462e-12
10196,9330,8361,8059,9989,11503,10211,1,4.14349703461698e-12
10232,9337,8365,8002,9552,9952,9039,1,5.718882504091755e-12
10197,9298,8303,7939,9758,10873,9744,1,4.517151228808402e-12
10194,9304,8328,7961,9488,9976,9038,1,5.813916984730126e-12
10188,9287,8301,7924,9579,10461,9474,1,5.0987387434538585e-12
10228,9308,8256,7826,9040,9190,8600,1,7.46355557314772e-12
10174,9284,8216,7797,9135,9594,8726,1,6.709597229623658e-12
10147,9251,8151,7703,8619,9111,8698,1,9.733469766926861e-12
10165,9273,8219,7805,9275,9673,8971,1,5.962673101459533e-12
10129,9215,8106,7666,8944,9135,8341,1,7.286519722103819e-12
10203,9331,8328,7971,10153,10597,9065,1,4.051410702195317e-12
10212,9330,8418,8070,11050,11287,9272,1,2.9387051301324397e-12
10163,9282,8313,7907,10664,10459,8894,1,3.2513843890516454e-12
10211,9306,8267,7889,9880,10125,8864,1,4.489145096049172e-12
10204,9318,8246,7836,9269,9746,9047,1,6.040899177406789e-12
10182,9281,8198,7782,9171,9552,8797,1,6.397493243199265e-12
10173,9292,8214,7800,9189,9595,8795,1,6.414136112209557e-12
10196,9287,8269,7830,9586,9973,8963,1,4.974934324170401e-12
10138,9259,8305,7923,11108,11232,9040,1,2.796697131280019e-12
10125,9202,8296,7780,12016,11297,8811,1,2.0981282779739896e-12
10127,9237,8223,7784,10128,9860,8570,1,3.921255866009932e-12
10177,9311,8265,7909,9906,10327,8857,1,4.515641778529632e-12
10230,9338,8285,7889,9506,9921,8888,1,5.471517973953947e-12
10163,9298,8233,7878,10077,10144,8688,1,4.175584997192375e-12
10189,9282,8358,7973,10800,11309,9451,1,3.009985915342485e-12
10220,9331,8251,7859,9088,9554,8806,1,7.253011084781632e-12
10151,9265,8328,7923,10790,11531,9259,1,3.019204755535914e-12
10107,9194,8263,7783,11820,11382,8755,1,2.2321051176522082e-12
10126,9261,8405,7941,12148,11942,9158,1,2.076556326407639e-12
10273,9386,8353,7971,9682,9847,9061,1,5.088375570872548e-12
10255,9371,8348,7999,9735,9967,9240,1,4.972166446921287e-12
10258,9356,8317,7941,9422,9901,8966,1,5.949452337560948e-12
10184,9287,8375,8004,11376,11812,9499,1,2.5250504194257e-12
10143,9253,8320,7935,11080,11677,9416,1,2.7229172837132757e-12
10154,9279,8316,7925,10542,10968,9257,1,3.3088093245153302e-12
10247,9364,8338,7952,9714,10060,8962,1,5.0052049696611955e-12
10216,9320,8303,7911,9883,10282,9301,1,4.316128633893481e-12
10311,9415,8339,7956,9204,9641,9407,1,6.660222445893085e-12
10256,9388,8367,8027,9627,10032,9125,1,5.478135977947312e-12
10259,9367,8358,8032,9898,10358,9082,1,4.739650801491109e-12
10200,9316,8323,7980,10313,10775,9125,1,3.782236004485424e-12
10194,9269,8279,7901,10071,10499,9088,1,4.046510553327569e-12
10210,9297,8219,7850,9168,9694,9026,1,6.6395863062312625e-12
10209,9312,8258,7870,9467,10464,9288,1,5.318893471136181e-12
10277,9389,8344,7976,9493,9955,9171,1,5.67947281826686e-12
10492,9434,8457,8168,10109,10630,9411,1,4.3631451892471905e-12
10286,9417,8366,8015,9665,9987,9051,1,5.3082283071758885e-12
10418,9427,8372,8026,9474,9816,9099,1,5.946329955292026e-12
10434,9454,8474,8185,9746,10301,9458,1,5.4285052819763435e-12
10206,9307,8313,7995,10241,10830,9453,1,3.812716096590624e-12
10312,9401,8423,8108,10141,10478,9192,1,4.308204678408713e-12
10204,9342,8355,8057,10088,10692,9349,1,4.292545200557004e-12
10197,9299,8292,7972,9916,10872,9574,1,4.342871065498056e-12
10276,9393,8343,7978,9234,9880,9092,1,6.9213105513553e-12
10184,9323,8313,7995,9565,10203,9214,1,5.598313572176785e-12
10335,9439,8445,8120,9323,10203,9399,1,7.078295031620973e-12
10310,9439,8418,8124,9425,10062,9346,1,6.6258741602828335e-12
10520,9400,8360,8047,9375,9750,9105,1,6.477987514606635e-12
10311,9432,8446,8158,9756,10220,9318,1,5.4414202042392855e-12
10232,9419,8487,8294,10240,10880,9635,1,4.485532178547033e-12
10210,9362,8435,8221,10294,10740,9443,1,4.282136813660015e-12
10230,9280,8178,7666,9994,9513,8103,1,4.0127129987464965e-12
10328,9409,8354,7849,11060,10135,8194,1,2.8842853512292948e-12
10436,9587,8600,8316,10672,10734,9231,1,3.6956401371430504e-12
10290,9383,8319,7836,11134,10404,8331,1,2.782357003746536e-12
10307,9367,8227,7715,9819,9587,8106,1,4.393850057747551e-12
10398,9519,8471,8179,10422,10309,8872,1,4.0093483193007106e-12
10335,9370,8268,7767,10875,10612,8571,1,2.828417823172025e-12
10304,9429,8352,7936,10372,10038,8602,1,3.703945814463041e-12
10266,9300,8131,7603,10131,9576,7919,1,3.719584239407215e-12
10292,9380,8262,7802,10106,9877,8481,1,3.905661021059834e-12
10279,9339,8250,7724,10285,10549,8652,1,3.3997990716472875e-12
10224,9269,8109,7560,9970,9516,8119,1,3.801044758877227e-12
10635,9703,8556,8033,10138,9729,8705,1,3.988598823197584e-12
10722,9819,8664,8158,9454,9310,8653,1,6.506301585305969e-12
10747,9841,8719,8237,9333,9442,8917,1,7.528624780043993e-12
10673,9774,8666,8179,9198,9352,8972,1,8.093929898477786e-12
10591,9683,8600,8081,9214,9506,9017,1,7.247577746937283e-12
10580,9673,8558,8077,10315,10531,9765,1,3.408385415784909e-12
10634,9710,8597,8132,10015,10450,9274,1,4.265937769083427e-12
10637,9744,8614,8123,9426,9527,8993,1,6.306996578416735e-12
10739,9838,8739,8277,9903,9795,8937,1,5.1062398576851135e-12
10724,9855,8774,8313,10104,9990,9317,1,4.4661449660009505e-12
10791,9889,8792,8314,10212,10079,8962,1,4.331288814083879e-12
10736,9855,8784,8331,9665,9878,9226,1,6.067831756420416e-12
10784,9879,8750,8262,9849,9824,8941,1,5.160674195659619e-12
10745,9865,8773,8269,9488,9839,9319,1,6.47263813627899e-12
10701,9791,8653,8149,9375,9685,9128,1,6.545222515333673e-12
10620,9685,8539,7995,9064,9649,9149,1,7.441396539969859e-12
10692,9783,8700,8175,9367,9756,9280,1,6.638975023850005e-12
10762,9863,8715,8194,9423,9699,9217,1,6.4073881924643135e-12
10859,9947,8822,8301,9539,9673,9194,1,6.35311444974974e-12
10882,10005,8907,8438,9704,9883,9452,1,6.135703385110123e-12
10820,9949,8849,8397,9716,9866,9414,1,5.961127764211222e-12
10742,9872,8802,8312,9750,9937,9313,1,5.527018536767157e-12
10674,9784,8668,8245,9656,9664,8955,1,5.943279721405364e-12
10681,9779,8654,8155,9516,9617,9047,1,5.975330936673672e-12
10804,9880,8768,8205,9335,9518,9074,1,7.0151650133304795e-12
10737,9866,8729,8179,9471,9453,8837,1,6.336427789877926e-12
10821,9958,8850,8380,9709,9638,9156,1,6.051659478024166e-12
10856,9969,8869,8360,9538,9573,9123,1,6.775377600577036e-12
10743,9854,8739,8245,9325,9693,9247,1,7.357950025659894e-12
10707,9792,8725,8247,9461,9815,9260,1,6.613900736476909e-12
10685,9793,8685,8231,9594,9676,8989,1,6.084681683813393e-12
10695,9836,8844,8482,10226,10188,9057,1,4.895732103662705e-12
10549,9739,8849,8767,11400,11354,9789,1,3.280144470917937e-12
10628,9817,8818,8692,10528,11323,10314,1,4.3364984963508324e-12
10748,9962,8993,8839,10652,11823,10959,1,4.083746245467039e-12
10795,9988,9057,8903,10622,12124,11412,1,4.137610058686348e-12
10774,9984,8961,8789,10395,11506,10805,1,4.618177232745981e-12
10826,10063,9110,8964,10649,11768,11169,1,4.302051719183304e-12
10761,9989,8933,8750,10644,11664,10554,1,3.988844103203569e-12
10613,9753,8778,8561,10904,11375,10308,1,3.33987590514927e-12
10672,9863,8941,8801,10742,11295,10361,1,4.09256785072376e-12
10829,9984,8882,8431,9926,9600,8848,1,5.595877221156861e-12
10725,9905,8914,8732,10479,11370,10473,1,4.400875018201217e-12
10830,9992,8996,8765,10498,11234,10430,1,4.366069463269345e-12
10949,10155,9201,9026,10971,12065,11182,1,3.6615262379418254e-12
10832,9959,8924,8415,9847,9656,8970,1,5.7264943199629174e-12
10828,9929,8837,8339,9720,9645,9004,1,5.886269876753088e-12
10833,9929,8875,8411,9727,9723,9124,1,6.172079117771541e-12
10770,9893,8883,8418,9797,9886,9286,1,5.846844219165115e-12
10733,9866,8855,8444,9950,9945,9193,1,5.4924158438600214e-12
10717,9876,8955,8629,10834,10457,9222,1,3.863379082970137e-12
10839,9967,8872,8378,9582,9310,8726,1,6.970498029898397e-12
10970,10184,9210,9030,10858,11746,10839,1,3.999681824835116e-12
10838,10052,9059,8843,10668,11674,10719,1,4.05042154105461e-12
10721,9887,8844,8612,10579,11336,10274,1,3.914853880469985e-12
10722,9956,8978,8768,10864,11395,10239,1,3.737764793892955e-12
10919,10029,8992,8549,9990,9499,8817,1,5.8418313771531034e-12
10849,10000,8976,8529,10249,9826,8981,1,4.835824513326332e-12
10819,9939,8916,8429,10052,9671,8838,1,5.1663011653111274e-12
10851,9960,8916,8475,9980,10009,9233,1,5.364150035035289e-12
10859,9981,8936,8546,10055,10024,9345,1,5.347492481698512e-12
10782,9992,9003,8778,10268,10837,10201,1,5.226646573429354e-12
10807,9971,8971,8552,10213,10216,9393,1,4.849273791560218e-12
10621,9770,8777,8568,11190,11577,10094,1,3.045487750155598e-12
10710,9894,8950,8616,10648,10343,9279,1,4.151471779573677e-12
10782,9942,8939,8556,10208,10047,9239,1,5.005466027536443e-12
10823,10015,9096,8742,11048,10820,9414,1,3.570582265812247e-12
10905,10049,9024,8561,10219,10055,9286,1,4.8138015871599715e-12
10867,10021,9014,8559,10158,10059,9320,1,5.007758695376771e-12
10860,10026,9018,8623,10232,10288,9583,1,4.9112436856792536e-12
10869,10037,9022,8605,10248,10322,9630,1,4.754901919853394e-12
10857,10020,9056,8664,10513,10332,9481,1,4.346421659974442e-12
10793,9964,9034,8727,10886,10533,9292,1,3.907618223648734e-12
10875,10025,8989,8537,10139,9996,9299,1,4.992140227601322e-12
10497,9551,8406,7828,8588,8570,8367,1,1.1434438546984063e-11
10477,9555,8402,7871,8713,8645,8396,1,1.0418974878194731e-11
10485,9538,8383,7825,8782,8945,8682,1,8.790463077340467e-12
10456,9546,8407,7924,9150,9597,9081,1,6.721043958080885e-12
10457,9522,8400,7880,9028,9267,8907,1,7.260466457641335e-12
10461,9515,8387,7833,8697,8672,8473,1,1.0039605931092325e-11
10442,9495,8387,7889,9083,9590,8989,1,6.973373129303989e-12
10439,9501,8371,7852,8998,9566,9226,1,7.02355449389646e-12
10479,9537,8385,7862,8832,9051,8780,1,8.660942171609772e-12
10499,9567,8429,7898,8813,8854,8581,1,9.38372991357378e-12
10496,9554,8385,7826,8695,8749,8499,1,9.862339658180526e-12
10463,9525,8365,7803,8568,8632,8388,1,1.1381937642016246e-11
10481,9553,8452,7973,9436,10052,9477,1,5.4178419841897744e-12
10457,9532,8457,8033,10369,10597,9325,1,3.5141992580643967e-12
10580,9651,8554,8053,9118,9246,9125,1,7.640216899933872e-12
10500,9580,8433,7913,8969,9427,9140,1,7.647778639478312e-12
10526,9592,8486,7982,9197,9490,8987,1,6.810152921411821e-12
10539,9643,8538,8064,9494,9593,9052,1,5.7896556453372646e-12
10575,9621,8502,7947,8902,8989,8682,1,8.805653287664506e-12
10482,9576,8468,8011,9906,10261,9331,1,4.269990586850986e-12
10589,9667,8577,8070,9297,9582,9027,1,6.696948933119111e-12
10518,9599,8459,7921,8999,9552,9202,1,7.405951330627327e-12
10548,9629,8497,7984,9239,9509,9066,1,6.4917933984720065e-12
10378,9464,8421,7981,11386,11214,9005,1,2.5116650528225126e-12
10620,9700,8610,8088,9348,9449,8977,1,6.5205032002814266e-12
10611,9753,8793,8517,10989,11151,9553,1,3.3756191222773936e-12
10556,9710,8712,8362,10797,10382,8966,1,3.5866264601527587e-12
10568,9706,8696,8336,10669,10545,9214,1,3.6240972449970807e-12
10606,9801,8921,8750,11292,11487,9764,1,3.326421183806663e-12
10599,9776,8901,8688,11550,11395,9622,1,2.971938077976299e-12
10556,9619,8464,7924,8900,9164,9006,1,8.311936418596493e-12
10536,9593,8476,7972,9134,9579,9172,1,6.960545095336e-12
10576,9639,8474,7922,8892,9097,8920,1,8.39636298540135e-12
10563,9632,8507,7996,9135,8994,8707,1,7.448573641509857e-12
10465,9542,8478,7977,9676,10253,9233,1,4.7914936016068644e-12
10560,9729,8702,8411,10378,10692,9441,1,4.261099818067334e-12
10589,9738,8728,8469,10607,10725,9386,1,3.971335325386401e-12
10578,9735,8738,8479,10749,10851,9408,1,3.741231184531562e-12
10588,9741,8750,8474,10762,10784,9416,1,3.693421903265854e-12
10629,9835,8959,8799,11687,11630,9805,1,2.9194130202840003e-12
10583,9765,8783,8516,10776,11038,9554,1,3.700442863840545e-12
10616,9774,8803,8518,10863,10999,9496,1,3.567202568708836e-12
10614,9786,8764,8451,10597,10864,9556,1,3.8258124939067154e-12
10581,9736,8818,8534,11247,11131,9488,1,3.1146082753770255e-12
10515,9687,8686,8328,10501,10610,9345,1,3.860326153814799e-12
10575,9719,8739,8442,10782,10993,9520,1,3.5618382410115702e-12
10605,9783,8788,8487,10986,11014,9469,1,3.3386066726981774e-12
10588,9776,8777,8508,10843,10990,9524,1,3.58284043531366e-12
10581,9741,8749,8478,10729,11004,9530,1,3.715606847433986e-12
10627,9786,8821,8541,11079,11259,9656,1,3.2448517138083582e-12
10620,9769,8760,8505,10762,11168,9738,1,3.6213339326667677e-12
10604,9787,8776,8519,10787,11148,9656,1,3.6384885052486295e-12
10609,9790,8815,8517,11125,11324,9705,1,3.130334227328146e-12
10627,9786,8841,8606,11277,11468,9705,1,3.1075346021500484e-12
10634,9822,8826,8585,10835,11413,9922,1,3.5812805931678034e-12
10807,10028,9078,8895,11723,13287,11940,1,2.3817628542509565e-12
10745,9929,8977,8789,11224,12875,11723,1,2.8255177682540563e-12
10670,9828,8837,8705,11195,12775,11423,1,2.8749057056755566e-12
10558,9728,8717,8565,11289,12755,11117,1,2.7057505794303804e-12
10584,9739,8727,8446,11382,12460,11067,1,2.4405461250384505e-12
10590,9726,8776,8604,11472,12923,11193,1,2.551222361026816e-12
10616,9757,8756,8599,11178,12689,11223,1,2.816778032513951e-12
10685,9884,8878,8710,10996,12761,11776,1,3.0056602170925407e-12
10755,9945,8917,8697,10598,12646,12057,1,3.4600597108006365e-12
10713,9885,8974,8732,12021,13066,11350,1,2.1492843446317178e-12
10872,10078,9072,8927,11371,13087,11775,1,2.7858781227285103e-12
10531,9665,8736,8548,11469,12833,11160,1,2.520862622529091e-12
10686,9852,8823,8618,10964,12954,11851,1,2.8759022551617605e-12
10741,9901,8893,8643,10728,12754,12039,1,3.1467372618440094e-12
10790,9959,8950,8716,10860,12745,12184,1,3.0238452341946666e-12
9938,9119,8161,7906,9268,10226,10376,1,5.980217277729175e-12
9850,8986,7982,7704,8948,9979,10330,1,6.537285891723584e-12
9945,9094,8143,7840,9385,10307,10511,1,5.139435658237782e-12
9973,9184,8234,7960,9725,10692,11089,1,4.2926006354263265e-12
9907,9062,8139,7828,9230,10597,11196,1,5.342609858915775e-12
9964,9146,8167,7865,9418,9917,10354,1,5.168807593399746e-12
9877,8994,8033,7733,8972,10157,9993,1,6.768199049395321e-12
9913,9073,8088,7787,9124,10158,10258,1,6.077837547162076e-12
9939,9101,8171,7909,9335,10611,11236,1,5.282078844812292e-12
9927,9100,8191,7928,9513,10421,11237,1,4.769263255124158e-12
9939,9116,8119,7779,9332,9858,9464,1,5.596954896365093e-12
9969,9139,8237,7980,9226,10286,10445,1,6.520185576859626e-12
9826,8970,7924,7584,8756,9659,9385,1,7.487228550095056e-12
9897,9047,7938,7600,8618,9386,9408,1,8.485214836784105e-12
9907,9101,8113,7835,9421,10154,9936,1,5.325378522971772e-12
9971,9120,8043,7628,8810,8906,8391,1,8.021185273981266e-12
10102,9272,8200,7785,8978,8627,7910,1,8.361913431762959e-12
9984,9114,8003,7530,8909,8556,7820,1,7.220254729551486e-12
10141,9330,8226,7843,8567,8505,8016,1,1.3618115826198917e-11
10116,9268,8170,7762,8339,8324,7927,1,1.7196723289474034e-11
10003,9180,8087,7710,8709,8728,8238,1,9.726600693601288e-12
10097,9268,8207,7842,8602,8503,8023,1,1.3132290361886651e-11
10028,9186,8100,7706,8575,8641,8358,1,1.0957464715725825e-11
